time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
1999-04-07-00; 0.9450; 5.5067
1999-04-07-01; 0.8791; 5.3094
1999-04-07-02; 0.7958; 5.2342
1999-04-07-03; 0.8264; 5.3170
1999-04-07-04; 0.7897; 5.2286
1999-04-07-05; 0.7515; 5.2113
1999-04-07-06; 0.7307; 5.0124
1999-04-07-07; 0.7437; 4.7516
1999-04-07-08; 0.7118; 4.5012
1999-04-07-09; 0.7120; 4.4175
1999-04-07-10; 0.6622; 4.4041
1999-04-07-11; 0.6478; 4.4866
1999-04-07-12; 0.6190; 4.4945
1999-04-07-13; 0.6112; 4.4707
1999-04-07-14; 0.5694; 4.2889
1999-04-07-15; 0.5530; 4.2996
1999-04-07-16; 0.5942; 4.4540
1999-04-07-17; 0.5677; 4.3607
1999-04-07-18; 0.5733; 4.5257
1999-04-07-19; 0.5606; 4.3956
1999-04-07-20; 0.5301; 4.5915
1999-04-07-21; 0.5431; 4.3325
1999-04-07-22; 0.5680; 4.4150
1999-04-07-23; 0.5939; 4.4608
1999-04-08-00; 0.5391; 4.6336
1999-04-08-01; 0.5240; 4.6188
1999-04-08-02; 0.5178; 4.6265
1999-04-08-03; 0.5065; 4.6344
1999-04-08-04; 0.5609; 4.6093
1999-04-08-05; 0.5516; 4.5658
1999-04-08-06; 0.5691; 4.6342
1999-04-08-07; 0.5844; 4.6391
1999-04-08-08; 0.5929; 4.6716
1999-04-08-09; 0.6110; 4.6688
1999-04-08-10; 0.6584; 4.8282
1999-04-08-11; 0.6456; 4.6203
1999-04-08-12; 0.6762; 4.6190
1999-04-08-13; 0.6760; 4.6655
1999-04-08-14; 0.6567; 4.4771
1999-04-08-15; 0.6670; 4.5017
1999-04-08-16; 0.6748; 4.4502
1999-04-08-17; 0.6403; 4.4093
1999-04-08-18; 0.6518; 4.2780
1999-04-08-19; 0.6062; 4.0658
1999-04-08-20; 0.6197; 4.1078
1999-04-08-21; 0.6664; 3.9604
1999-04-08-22; 0.7140; 3.9857
1999-04-08-23; 0.6579; 4.0432
1999-04-09-00; 0.6472; 4.0588
1999-04-09-01; 0.7072; 4.1107
1999-04-09-02; 0.6258; 4.1516
1999-04-09-03; 0.6422; 4.2595
1999-04-09-04; 0.6325; 4.3013
1999-04-09-05; 0.6410; 4.4118
1999-04-09-06; 0.6889; 4.4455
1999-04-09-07; 0.6459; 4.3913
1999-04-09-08; 0.6296; 4.1738
1999-04-09-09; 0.6238; 4.0575
1999-04-09-10; 0.7445; 4.2677
1999-04-09-11; 0.7792; 4.3411
1999-04-09-12; 0.7118; 4.3310
1999-04-09-13; 0.7948; 4.4419
1999-04-09-14; 0.8117; 4.5148
1999-04-09-15; 0.8213; 4.5603
1999-04-09-16; 0.8276; 4.7059
1999-04-09-17; 0.8487; 4.5701
1999-04-09-19; 0.9553; 4.5579
1999-04-10-02; 0.7955; 4.4099
1999-04-10-03; 0.7715; 4.5701
1999-04-10-04; 0.7493; 4.4620
1999-04-10-05; 0.7930; 4.3824
1999-04-10-06; 0.7702; 4.4023
1999-04-10-07; 0.8073; 4.3668
1999-04-10-08; 0.8334; 4.3946
1999-04-10-09; 0.8543; 4.3498
1999-04-10-10; 0.9185; 4.3398
1999-04-10-11; 0.9980; 4.3684
1999-04-11-10; 1.0474; 5.2422
1999-04-11-11; 1.0310; 5.0762
1999-04-11-12; 1.0351; 5.0632
1999-04-11-13; 1.0934; 4.9065
1999-04-11-14; 0.9988; 4.4895
1999-04-11-15; 0.9641; 4.6322
1999-04-11-16; 0.9572; 4.6003
1999-04-11-17; 0.9905; 4.7257
1999-04-11-18; 1.1291; 5.0766
1999-04-11-19; 1.1511; 5.1312
1999-04-11-20; 1.3231; 5.4798
1999-04-11-21; 1.6222; 5.9260
1999-04-11-22; 1.5638; 5.9334
1999-04-11-23; 1.2867; 5.7254
1999-04-12-00; 1.2566; 5.8915
1999-04-12-01; 1.2112; 5.7583
1999-04-12-02; 1.2250; 5.7597
1999-04-12-03; 1.0693; 5.7159
1999-04-12-04; 1.0855; 5.8291
1999-04-12-05; 1.1168; 5.8364
1999-04-12-06; 0.8775; 5.2557
1999-04-12-07; 0.9279; 5.3817
1999-04-12-08; 0.8465; 5.0675
1999-04-12-09; 0.7839; 5.2320
1999-04-12-10; 0.7608; 4.9828
1999-04-12-11; 0.7774; 5.1158
1999-04-12-12; 0.7515; 5.0609
1999-04-12-13; 0.6830; 4.9645
1999-04-12-14; 0.6076; 4.9273
1999-04-12-17; 0.6115; 4.9056
1999-04-12-18; 0.5806; 4.9451
1999-04-12-19; 0.5606; 4.8079
1999-04-12-20; 0.5912; 5.0239
1999-04-13-04; 0.6009; 3.9850
1999-04-13-05; 0.5497; 3.9919
1999-04-13-06; 0.5996; 3.7123
1999-04-13-07; 0.6771; 3.8712
1999-04-13-08; 0.7388; 3.9484
1999-04-13-09; 0.7350; 4.2256
1999-04-13-10; 0.6616; 4.0228
1999-04-13-11; 0.6512; 4.2928
1999-04-14-10; 0.9332; 4.3701
1999-04-14-11; 0.9940; 4.4476
1999-04-15-10; 1.2523; 5.1891
1999-04-15-11; 1.3323; 5.2648
1999-04-15-21; 2.0557; 6.3109
1999-04-15-22; 1.8275; 5.5615
1999-04-15-23; 1.8879; 5.1254
1999-04-16-00; 1.8926; 5.1107
1999-04-16-01; 1.8887; 5.1266
1999-04-16-02; 1.7451; 4.8343
1999-04-16-03; 1.6442; 5.1837
1999-04-16-04; 1.6997; 4.8628
1999-04-16-05; 1.6076; 4.8541
1999-04-16-06; 1.5940; 4.8627
1999-04-16-07; 1.6364; 5.1542
1999-04-16-08; 1.8270; 5.4017
1999-04-16-09; 1.9536; 5.6485
1999-04-16-10; 1.8418; 5.5516
1999-04-16-11; 1.8669; 5.4342
1999-04-16-12; 1.9446; 5.5447
1999-04-16-13; 2.0325; 5.0863
1999-04-16-15; 2.3269; 5.2683
1999-04-16-16; 2.2512; 5.3538
1999-04-16-17; 2.3324; 5.4195
1999-04-16-18; 2.2143; 5.4010
1999-04-16-19; 2.1858; 5.5572
1999-04-16-20; 2.2845; 5.7982
1999-04-16-21; 2.2862; 5.9457
1999-04-16-22; 2.0722; 5.7308
1999-04-16-23; 2.2356; 5.8280
1999-04-17-00; 2.3520; 5.7948
1999-04-17-01; 2.1513; 5.5393
1999-04-17-02; 2.2137; 5.6044
1999-04-17-03; 2.2229; 5.5735
1999-04-17-04; 2.0167; 5.5362
1999-04-17-05; 1.8933; 5.2455
1999-04-17-06; 2.1457; 5.3374
1999-04-17-07; 2.1405; 5.0438
1999-04-17-08; 1.9888; 4.8869
1999-04-17-09; 2.2169; 5.0028
1999-04-17-10; 2.0036; 4.8743
1999-04-17-11; 1.6393; 4.5074
1999-04-17-12; 1.7067; 4.3762
1999-04-17-13; 1.9159; 4.3706
1999-04-17-14; 2.0145; 4.5246
1999-04-17-15; 2.4171; 4.8242
1999-04-17-16; 2.5078; 4.9728
1999-04-17-17; 2.6979; 5.1829
1999-04-17-18; 2.7490; 5.3854
1999-04-17-19; 2.9624; 5.7134
1999-04-17-20; 2.9144; 5.8226
1999-04-17-21; 2.3122; 5.3258
1999-04-17-22; 2.4986; 5.6175
1999-04-17-23; 2.3601; 5.8120
1999-04-18-00; 2.2083; 5.7975
1999-04-18-01; 2.1196; 5.7898
1999-04-18-02; 1.9726; 6.0017
1999-04-18-03; 1.9751; 6.0231
1999-04-18-04; 1.8453; 5.8098
1999-04-18-05; 1.6792; 5.7708
1999-04-18-06; 1.6088; 5.7894
1999-04-18-07; 1.6291; 5.8553
1999-04-18-08; 1.3988; 5.6077
1999-04-18-09; 1.3871; 5.3484
1999-04-18-10; 1.2335; 5.2044
1999-04-18-11; 1.2882; 5.0119
1999-04-18-12; 1.1895; 4.6485
1999-04-18-13; 1.1688; 4.3262
1999-04-18-14; 1.1152; 3.9152
1999-04-18-15; 1.1236; 3.9053
1999-04-18-16; 1.1544; 3.8341
1999-04-18-17; 1.1163; 3.7999
1999-04-18-18; 0.9838; 3.8043
1999-04-18-19; 0.9822; 3.8533
1999-04-18-20; 0.8531; 3.8238
1999-04-18-21; 0.8687; 3.8227
1999-04-18-22; 0.8454; 3.7757
1999-04-18-23; 0.7785; 3.8646
1999-04-19-00; 0.7348; 4.0659
1999-04-19-01; 0.6802; 4.0016
1999-04-19-02; 0.6332; 4.0824
1999-04-19-03; 0.6458; 4.1737
1999-04-19-04; 0.6304; 4.1880
1999-04-19-05; 0.6827; 4.2393
1999-04-19-06; 0.6266; 4.1837
1999-04-19-07; 0.5802; 4.3068
1999-04-19-08; 0.5535; 4.2989
1999-04-19-10; 0.5722; 4.4132
1999-04-19-11; 0.5703; 4.3947
1999-04-19-12; 0.5291; 4.2048
1999-04-19-13; 0.5572; 4.1469
1999-04-19-14; 0.5568; 4.0924
1999-04-19-15; 0.5544; 4.1061
1999-04-19-16; 0.5376; 4.0348
1999-04-19-17; 0.5404; 3.8961
1999-04-19-18; 0.5787; 3.9333
1999-04-19-19; 0.5869; 3.9111
1999-04-19-20; 0.6161; 4.2744
1999-04-19-21; 0.5837; 4.0684
1999-04-19-22; 0.5366; 4.2199
1999-04-19-23; 0.4951; 4.4197
1999-04-20-00; 0.5057; 4.3568
1999-04-20-01; 0.4461; 4.5889
1999-04-20-02; 0.4078; 4.6610
1999-04-20-03; 0.4277; 4.5963
1999-04-20-04; 0.4016; 4.5947
1999-04-20-05; 0.4226; 4.9923
1999-04-20-06; 0.3864; 4.8872
1999-04-20-07; 0.3956; 5.0977
1999-04-20-08; 0.3928; 5.1069
1999-04-20-09; 0.3956; 5.0832
1999-04-20-10; 0.3710; 5.1057
1999-04-20-11; 0.4554; 5.2676
1999-04-20-12; 0.3851; 5.1335
1999-04-20-13; 0.4046; 5.6819
1999-04-20-14; 0.3921; 5.5532
1999-04-20-15; 0.3946; 5.5121
1999-04-20-16; 0.3974; 5.5369
1999-04-20-17; 0.4078; 5.5374
1999-04-20-18; 0.4113; 5.3749
1999-04-20-19; 0.4398; 5.1152
1999-04-20-20; 0.4127; 5.0305
1999-04-20-21; 0.4301; 4.7365
1999-04-20-22; 0.4530; 4.6752
1999-04-20-23; 0.4702; 4.5153
1999-04-21-00; 0.4479; 4.6229
1999-04-21-01; 0.4654; 4.7128
1999-04-21-02; 0.4633; 4.4503
1999-04-21-03; 0.4594; 4.5217
1999-04-21-04; 0.4592; 4.5853
1999-04-21-05; 0.4450; 4.4413
1999-04-21-06; 0.4559; 4.2441
1999-04-21-07; 0.4712; 4.2341
1999-04-21-08; 0.5126; 4.4509
1999-04-21-09; 0.5167; 4.3309
1999-04-21-10; 0.5413; 4.1867
1999-04-21-11; 0.5776; 4.2902
1999-04-21-12; 0.5689; 4.0477
1999-04-21-13; 0.5868; 4.1964
1999-04-21-14; 0.6258; 3.9904
1999-04-21-15; 0.6538; 4.0046
1999-04-21-16; 0.7426; 4.0095
1999-04-21-17; 0.8040; 4.0372
1999-04-21-18; 0.8405; 4.0237
1999-04-21-19; 0.8159; 4.0237
1999-04-21-21; 0.8980; 4.0697
1999-04-21-22; 0.8933; 4.0587
1999-04-21-23; 0.8949; 4.1546
1999-04-22-00; 0.8756; 4.2028
1999-04-22-01; 0.8135; 4.2816
1999-04-22-02; 0.7010; 4.2056
1999-04-22-03; 0.7461; 4.4822
1999-04-22-04; 0.7243; 4.4071
1999-04-22-05; 0.6771; 4.4176
1999-04-22-06; 0.6419; 4.4872
1999-04-22-07; 0.6372; 4.4032
1999-04-22-08; 0.6664; 4.4299
1999-04-22-09; 0.5915; 4.0985
1999-04-22-10; 0.6906; 3.9473
1999-04-22-11; 0.7684; 3.9730
1999-04-22-12; 0.9207; 4.0311
1999-04-22-13; 1.0761; 4.0676
1999-04-22-14; 1.1643; 4.2113
1999-04-22-15; 1.2362; 4.3767
1999-04-22-16; 1.3838; 4.5805
1999-04-22-18; 1.3269; 4.6391
1999-04-22-19; 1.5024; 4.8144
1999-04-22-21; 1.4175; 4.9076
1999-04-22-22; 1.5217; 4.9846
1999-04-22-23; 1.3600; 4.9088
1999-04-23-00; 1.4708; 5.1640
1999-04-23-01; 1.3113; 4.9651
1999-04-23-02; 1.3188; 5.0532
1999-04-23-03; 1.3254; 5.0410
1999-04-23-04; 1.3214; 5.0386
1999-04-23-05; 1.3580; 5.0501
1999-04-23-06; 1.3116; 5.0723
1999-04-23-07; 1.3767; 5.1105
1999-04-23-08; 1.4050; 5.0096
1999-04-23-09; 1.5062; 5.1617
1999-04-23-10; 1.3847; 5.0531
1999-04-23-11; 1.4646; 5.1246
1999-04-23-12; 1.5505; 5.1365
1999-04-23-13; 1.3741; 4.9435
1999-04-23-14; 1.4737; 5.1119
1999-04-23-15; 1.4108; 5.1593
1999-04-23-16; 1.3547; 5.0503
1999-04-23-17; 1.3436; 5.0990
1999-04-23-18; 1.2819; 4.9668
1999-04-23-19; 1.3647; 5.2053
1999-04-23-20; 1.3013; 5.0426
1999-04-23-21; 1.2998; 5.1349
1999-04-23-22; 1.2040; 5.0359
1999-04-23-23; 1.0848; 4.9177
1999-04-24-00; 1.1229; 5.0653
1999-04-24-01; 1.0727; 5.0069
1999-04-24-02; 1.1261; 5.1370
1999-04-24-03; 0.9715; 4.9056
1999-04-24-05; 0.9610; 4.9410
1999-04-24-06; 0.9435; 4.8050
1999-04-24-07; 0.9651; 4.8945
1999-04-24-08; 0.9589; 4.8097
1999-04-24-09; 0.9307; 4.7647
1999-04-24-10; 0.9307; 4.6507
1999-04-24-11; 1.0143; 4.8288
1999-04-24-12; 0.9990; 4.7457
1999-04-24-13; 0.9904; 4.6682
1999-04-24-14; 0.9578; 4.6486
1999-04-24-15; 1.0076; 4.8296
1999-04-24-16; 0.9416; 4.6445
1999-04-24-17; 0.9883; 4.7291
1999-04-24-18; 0.9763; 4.7669
1999-04-24-19; 0.9317; 4.7172
1999-04-24-20; 0.9209; 4.7300
1999-04-24-21; 0.8305; 4.6257
1999-04-24-22; 0.7958; 4.6593
1999-04-24-23; 0.8247; 4.8225
1999-04-25-00; 0.6921; 4.6749
1999-04-25-01; 0.7154; 4.7104
1999-04-25-02; 0.6830; 4.7577
1999-04-25-03; 0.6631; 4.7498
1999-04-25-05; 0.6783; 4.7957
1999-04-25-06; 0.6318; 4.7523
1999-04-25-07; 0.6833; 4.7773
1999-04-25-08; 0.6469; 4.6381
1999-04-25-09; 0.6086; 4.6561
1999-04-25-10; 0.6059; 4.5144
1999-04-25-11; 0.6344; 4.5430
1999-04-25-12; 0.6318; 4.5490
1999-04-25-13; 0.6229; 4.4091
1999-04-25-14; 0.5677; 4.4337
1999-04-25-15; 0.6086; 4.4697
1999-04-25-16; 0.5677; 4.4228
1999-04-25-17; 0.5677; 4.5487
1999-04-25-18; 0.5417; 4.2759
1999-04-25-19; 0.6095; 4.2494
1999-04-25-20; 0.6275; 4.1754
1999-04-25-21; 0.5759; 4.0648
1999-04-25-22; 0.5795; 4.0850
1999-04-25-23; 0.5873; 3.9554
1999-04-26-00; 0.5717; 3.9981
1999-04-26-01; 0.5226; 4.1785
1999-04-26-02; 0.5251; 4.1209
1999-04-26-03; 0.5174; 4.1835
1999-04-26-04; 0.5316; 4.3952
1999-04-26-05; 0.5285; 4.2342
1999-04-26-06; 0.5224; 4.2420
1999-04-26-07; 0.5194; 4.1346
1999-04-26-08; 0.5519; 4.2768
1999-04-26-09; 0.5591; 4.2907
1999-04-26-10; 0.5505; 4.3346
1999-04-26-11; 0.5993; 4.4216
1999-04-26-12; 0.6521; 4.5568
1999-04-26-13; 0.6369; 4.4232
1999-04-26-14; 0.6958; 4.4423
1999-04-26-15; 0.6935; 4.4667
1999-04-26-16; 0.7087; 4.3574
1999-04-26-17; 0.7218; 4.3054
1999-04-26-18; 0.7573; 4.2036
1999-04-26-19; 0.8446; 3.9813
1999-04-26-20; 0.9177; 3.8960
1999-04-26-21; 0.9250; 3.7519
1999-04-26-22; 0.8973; 3.7717
1999-04-26-23; 0.8687; 3.7125
1999-04-27-00; 0.8779; 3.8276
1999-04-27-01; 0.8038; 3.9251
1999-04-27-02; 0.8095; 3.9359
1999-04-27-03; 0.7712; 4.1871
1999-04-27-04; 0.7785; 4.0843
1999-04-27-05; 0.8021; 4.2488
1999-04-27-06; 0.8093; 4.2558
1999-04-27-07; 0.7859; 4.3424
1999-04-27-08; 0.8625; 4.4924
1999-04-27-09; 0.8699; 4.6058
1999-04-27-10; 0.8671; 4.5104
1999-04-27-11; 0.8772; 4.6105
1999-04-27-12; 0.9746; 4.4540
1999-04-27-13; 1.0108; 4.5475
1999-04-27-14; 1.0167; 4.6648
1999-04-27-15; 1.1460; 4.7836
1999-04-27-16; 1.0864; 4.6231
1999-04-27-17; 1.1730; 4.7287
1999-04-27-18; 1.2693; 4.9222
1999-04-27-19; 1.3761; 5.2330
1999-04-27-20; 1.4144; 5.3101
1999-04-27-21; 1.4597; 5.3825
1999-04-27-22; 1.5694; 5.5387
1999-04-27-23; 1.5815; 5.4736
1999-04-28-00; 1.5946; 5.5658
1999-04-28-01; 1.4142; 5.3348
1999-04-28-02; 1.3628; 5.2801
1999-04-28-03; 1.1495; 5.1496
1999-04-28-04; 1.2288; 5.2783
1999-04-28-05; 1.1042; 5.0356
1999-04-28-06; 1.0314; 5.0009
1999-04-28-07; 0.9978; 4.8211
1999-04-28-08; 0.9281; 4.9139
1999-04-28-09; 0.9128; 4.8979
1999-04-28-10; 0.8494; 4.9051
1999-04-28-11; 0.9027; 4.9223
1999-04-28-12; 0.7805; 4.8103
1999-04-28-13; 0.8550; 4.8847
1999-04-28-14; 0.8125; 4.7673
1999-04-28-15; 0.8322; 4.5922
1999-04-28-16; 0.8352; 4.6090
1999-04-28-17; 0.8515; 4.5295
1999-04-28-18; 0.9287; 4.6446
1999-04-28-19; 0.8845; 4.7572
1999-04-28-20; 0.8078; 4.5265
1999-04-28-21; 0.7938; 4.6166
1999-04-28-22; 0.7621; 4.6557
1999-04-28-23; 0.7544; 4.6391
1999-04-29-00; 0.7337; 4.6604
1999-04-29-01; 0.7741; 4.7636
1999-04-29-02; 0.6924; 4.7133
1999-04-29-03; 0.7483; 4.7756
1999-04-29-04; 0.6857; 4.8068
1999-04-29-05; 0.6344; 4.6306
1999-04-29-06; 0.6679; 4.7880
1999-04-29-07; 0.6504; 4.6332
1999-04-29-08; 0.6229; 4.6385
1999-04-29-09; 0.5764; 4.4949
1999-04-29-10; 0.5747; 4.5518
1999-04-29-11; 0.6076; 4.6322
1999-04-29-12; 0.6059; 4.5171
1999-04-29-13; 0.6935; 4.6446
1999-04-29-14; 0.6628; 4.5635
1999-04-29-15; 0.6242; 4.5698
1999-04-29-16; 0.6046; 4.2552
1999-04-29-17; 0.5761; 4.4271
1999-04-29-18; 0.5420; 4.3849
1999-04-29-19; 0.4838; 4.3744
1999-04-29-20; 0.4936; 4.3521
1999-04-29-21; 0.4199; 4.0486
1999-04-29-22; 0.4161; 4.0179
1999-04-29-23; 0.4004; 4.1234
1999-04-30-00; 0.3536; 4.0909
1999-04-30-01; 0.3735; 4.1707
1999-04-30-02; 0.3861; 4.3486
1999-04-30-03; 0.3903; 4.3761
1999-04-30-04; 0.4029; 4.6045
1999-04-30-05; 0.4280; 4.2875
1999-04-30-06; 0.4294; 4.2638
1999-04-30-07; 0.4261; 4.3063
1999-04-30-08; 0.4587; 4.7662
1999-04-30-10; 0.5648; 4.3467
1999-04-30-11; 0.6006; 4.2396
1999-04-30-12; 0.6229; 4.3241
1999-04-30-13; 0.6141; 4.3119
1999-04-30-14; 0.5563; 4.3940
1999-04-30-15; 0.5266; 4.3427
1999-04-30-16; 0.5885; 4.0807
1999-04-30-17; 0.6413; 4.1028
1999-04-30-18; 0.7232; 4.1047
1999-04-30-19; 0.8913; 4.2568
1999-04-30-20; 1.0052; 4.3374
1999-04-30-21; 1.2763; 4.5617
1999-04-30-22; 1.3413; 4.8364
1999-04-30-23; 1.4576; 4.9180
1999-05-01-00; 1.4906; 4.9971
1999-05-01-01; 1.5784; 5.0239
1999-05-01-02; 1.7428; 5.2732
1999-05-01-03; 1.9344; 5.3674
1999-05-01-04; 1.9047; 5.4194
1999-05-01-05; 2.4075; 6.0073
1999-05-01-06; 2.4374; 6.1280
1999-05-01-07; 2.2302; 5.8672
1999-05-01-08; 2.2485; 5.9853
1999-05-01-09; 2.2111; 5.9802
1999-05-01-10; 2.3756; 6.2848
1999-05-01-11; 1.9215; 5.9889
1999-05-01-12; 2.3122; 6.3441
1999-05-01-13; 2.1020; 6.0506
1999-05-01-14; 2.1318; 6.3863
1999-05-01-15; 2.2183; 6.4844
1999-05-01-16; 2.1032; 6.4057
1999-05-01-17; 2.1765; 6.5201
1999-05-01-18; 2.3852; 6.7370
1999-05-01-19; 1.9272; 6.3975
1999-05-01-20; 2.1517; 6.6652
1999-05-01-21; 1.8517; 6.1016
1999-05-01-22; 1.9255; 6.2260
1999-05-01-23; 1.8382; 6.0595
1999-05-02-00; 1.7129; 5.7655
1999-05-02-01; 1.6907; 5.4998
1999-05-02-02; 1.5378; 5.6544
1999-05-02-03; 1.6213; 5.4765
1999-05-02-04; 1.5774; 5.5854
1999-05-02-05; 1.5562; 5.4428
1999-05-02-06; 1.4856; 5.2262
1999-05-02-07; 1.5243; 5.4584
1999-05-02-08; 1.5944; 5.3983
1999-05-02-09; 1.5164; 5.3588
1999-05-02-10; 1.3800; 5.2196
1999-05-02-11; 1.3149; 5.1386
1999-05-02-12; 1.2171; 4.9280
1999-05-02-13; 1.1770; 4.8562
1999-05-02-14; 1.2425; 4.8298
1999-05-02-15; 1.1387; 4.9280
1999-05-02-16; 1.0571; 4.9588
1999-05-02-17; 1.0325; 5.0147
1999-05-02-18; 0.9944; 5.1197
1999-05-02-19; 1.0042; 4.9594
1999-05-02-20; 0.8946; 4.8202
1999-05-02-21; 0.9040; 4.8568
1999-05-02-22; 0.8524; 4.7990
1999-05-02-23; 0.7720; 4.6562
1999-05-03-00; 0.7808; 4.5981
1999-05-03-01; 0.7372; 4.6747
1999-05-03-02; 0.7053; 4.5546
1999-05-03-03; 0.7098; 4.5621
1999-05-03-04; 0.6947; 4.3613
1999-05-03-05; 0.7106; 4.4751
1999-05-03-06; 0.7372; 4.4210
1999-05-03-07; 0.7339; 4.3621
1999-05-03-08; 0.7650; 4.2854
1999-05-03-09; 0.7480; 4.2686
1999-05-03-10; 0.7472; 4.1128
1999-05-03-11; 0.7877; 4.1754
1999-05-03-12; 0.8427; 4.2238
1999-05-03-13; 0.8477; 4.0701
1999-05-03-14; 0.9009; 3.9533
1999-05-03-15; 0.9530; 3.8747
1999-05-03-16; 0.9740; 3.8001
1999-05-03-17; 0.9298; 3.8718
1999-05-03-18; 1.0121; 4.0911
1999-05-03-19; 0.9789; 4.0274
1999-05-03-20; 0.9587; 4.0138
1999-05-03-21; 0.9562; 4.1373
1999-05-03-22; 0.9709; 4.2187
1999-05-03-23; 1.0016; 4.2651
1999-05-04-00; 1.0772; 4.2296
1999-05-04-01; 1.0697; 4.3436
1999-05-04-02; 1.0155; 4.3364
1999-05-04-03; 1.1593; 4.4617
1999-05-04-04; 1.1567; 4.5328
1999-05-04-05; 1.3719; 4.7092
1999-05-04-06; 1.4897; 4.8687
1999-05-04-07; 1.4481; 4.8791
1999-05-04-08; 1.3742; 4.8608
1999-05-04-09; 1.5874; 5.1237
1999-05-04-10; 1.7413; 5.0825
1999-05-04-11; 1.8912; 5.2053
1999-05-04-12; 1.8336; 5.0795
1999-05-04-13; 1.8459; 5.1343
1999-05-04-14; 1.7453; 5.2176
1999-05-04-15; 2.0034; 5.4122
1999-05-04-16; 1.8561; 5.2437
1999-05-04-17; 2.0021; 5.2045
1999-05-04-18; 1.9881; 5.0607
1999-05-04-19; 1.8848; 4.8418
1999-05-04-20; 1.8904; 4.9551
1999-05-04-21; 1.9357; 4.9651
1999-05-04-22; 1.8515; 4.7107
1999-05-04-23; 2.0555; 4.8589
1999-05-05-00; 1.9977; 4.8696
1999-05-05-01; 2.0818; 4.9858
1999-05-05-02; 1.9658; 4.8636
1999-05-05-03; 1.7934; 4.7265
1999-05-05-05; 1.8789; 4.8391
1999-05-05-06; 1.9876; 5.0613
1999-05-05-07; 2.0077; 5.1550
1999-05-05-08; 2.0585; 5.0666
1999-05-05-09; 2.3240; 5.3818
1999-05-05-10; 2.2805; 5.3870
1999-05-05-12; 2.7725; 5.9750
1999-05-05-13; 2.8125; 6.1521
1999-05-05-14; 2.9443; 6.4484
1999-05-05-15; 2.8368; 6.6009
1999-05-05-16; 3.0140; 6.5981
1999-05-05-17; 2.8218; 6.5493
1999-05-05-18; 3.1828; 6.6232
1999-05-05-19; 2.9402; 6.4421
1999-05-05-20; 2.9604; 6.4126
1999-05-05-21; 2.9935; 6.4861
1999-05-05-22; 2.8031; 6.3875
1999-05-05-23; 2.4218; 5.8360
1999-05-06-00; 2.4662; 6.0336
1999-05-06-01; 2.4131; 5.9970
1999-05-06-02; 2.2466; 5.8708
1999-05-06-03; 2.0429; 5.2792
1999-05-06-04; 2.2927; 5.4969
1999-05-06-05; 2.2145; 5.2697
1999-05-06-06; 2.3206; 5.3972
1999-05-06-07; 2.5734; 5.5392
1999-05-06-08; 2.5457; 5.4151
1999-05-06-09; 2.7232; 5.7326
1999-05-06-10; 2.5974; 5.6676
1999-05-06-11; 2.8400; 6.0074
1999-05-06-12; 2.9514; 6.0661
1999-05-06-13; 2.6758; 5.7746
1999-05-06-14; 2.7167; 5.7329
1999-05-06-15; 2.6006; 5.7404
1999-05-06-16; 2.3581; 5.7824
1999-05-06-18; 2.1216; 5.7224
1999-05-06-19; 2.1623; 5.8153
1999-05-06-20; 2.0252; 5.5875
1999-05-06-21; 1.8684; 5.4845
1999-05-06-22; 1.7752; 5.4932
1999-05-06-23; 1.7510; 5.4577
1999-05-07-01; 1.5170; 5.5711
1999-05-07-02; 1.6065; 5.6589
1999-05-07-03; 1.5193; 5.5619
1999-05-07-04; 1.2969; 5.3239
1999-05-07-05; 1.3957; 5.3696
1999-05-07-06; 1.3552; 5.3481
1999-05-07-07; 1.2810; 5.1672
1999-05-07-08; 1.3659; 5.3415
1999-05-07-09; 1.1726; 5.0992
1999-05-07-10; 1.1494; 5.1774
1999-05-07-11; 1.0540; 4.9989
1999-05-07-12; 1.1524; 5.0201
1999-05-07-13; 1.2466; 5.1917
1999-05-07-14; 1.3180; 5.2027
1999-05-07-15; 1.2172; 5.0401
1999-05-07-16; 1.4117; 5.1495
1999-05-07-17; 1.6437; 5.2833
1999-05-07-18; 1.5828; 4.9036
1999-05-07-19; 1.7335; 5.0835
1999-05-07-20; 1.7045; 5.1501
1999-05-07-21; 1.6361; 5.3322
1999-05-07-22; 1.5824; 5.1658
1999-05-07-23; 1.5799; 5.4641
1999-05-08-00; 1.3730; 5.3056
1999-05-08-02; 1.2725; 5.3608
1999-05-08-03; 1.3422; 5.3672
1999-05-08-04; 1.8914; 5.2268
1999-05-08-05; 1.9471; 5.2149
1999-05-08-06; 2.2316; 5.2251
1999-05-08-07; 2.6456; 5.5223
1999-05-08-08; 3.0259; 6.0552
1999-05-08-09; 2.5929; 5.8397
1999-05-08-10; 2.2956; 5.7135
1999-05-08-11; 2.2702; 5.7231
1999-05-08-12; 2.0178; 5.6649
1999-05-08-13; 1.9064; 5.5592
1999-05-08-14; 1.9171; 5.7769
1999-05-08-15; 1.6971; 5.5178
1999-05-08-16; 1.5283; 5.4053
1999-05-08-18; 1.4025; 5.5253
1999-05-08-19; 1.5307; 5.6553
1999-05-08-20; 1.3155; 5.3230
1999-05-08-22; 1.1950; 5.2894
1999-05-08-23; 1.2682; 5.4478
1999-05-09-00; 1.1682; 5.3615
1999-05-09-01; 1.4437; 5.0542
