time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2007-11-11-20; 0.7980; 4.0368
2007-11-11-21; 0.7958; 4.0171
2007-11-11-22; 0.8086; 3.9195
2007-11-11-23; 0.8432; 4.0239
2007-11-12-00; 0.8838; 3.9449
2007-11-12-01; 0.9299; 4.0498
2007-11-12-02; 0.9958; 3.9800
2007-11-12-03; 1.0959; 4.1042
2007-11-12-04; 1.1958; 4.1853
2007-11-12-05; 1.1866; 4.2156
2007-11-12-06; 1.0703; 4.0440
2007-11-12-07; 1.1425; 4.1251
2007-11-12-08; 1.1947; 4.2660
2007-11-12-09; 1.2085; 4.3777
2007-11-12-10; 1.0811; 4.1238
2007-11-12-11; 1.0905; 4.1408
2007-11-12-12; 1.1281; 4.2039
2007-11-12-13; 1.0650; 4.0781
2007-11-12-14; 1.0975; 4.3622
2007-11-12-15; 0.9889; 4.2365
2007-11-12-16; 0.9994; 4.2624
2007-11-12-17; 0.9761; 4.4115
2007-11-12-18; 0.9936; 4.4196
2007-11-12-19; 0.9025; 4.2947
2007-11-12-21; 0.9106; 4.4723
2007-11-12-22; 0.9052; 4.4614
2007-11-12-23; 0.8982; 4.3384
2007-11-13-00; 0.9456; 4.3410
2007-11-13-01; 0.8370; 3.9615
2007-11-13-02; 0.9011; 3.9921
2007-11-13-03; 0.9214; 3.9999
2007-11-13-04; 0.9182; 4.0189
2007-11-13-05; 0.9362; 4.2887
2007-11-13-06; 0.8813; 4.2844
2007-11-13-07; 0.9620; 4.5419
2007-11-13-08; 0.8639; 4.5004
2007-11-13-09; 0.9381; 4.5651
2007-11-13-10; 0.9847; 4.8992
2007-11-13-11; 1.0384; 4.9483
2007-11-13-12; 1.2563; 5.1613
2007-11-13-13; 1.3554; 5.4966
2007-11-13-14; 1.3480; 5.3360
2007-11-13-15; 1.3871; 5.3631
2007-11-13-16; 1.4754; 5.6607
2007-11-13-17; 1.2909; 5.3180
2007-11-13-18; 1.2778; 5.4117
2007-11-13-19; 1.1417; 5.3474
2007-11-13-20; 1.1535; 5.2665
2007-11-13-21; 1.1236; 5.3165
2007-11-13-22; 1.0666; 5.3077
2007-11-13-23; 1.1329; 5.3648
2007-11-14-00; 1.1245; 5.6196
2007-11-14-01; 1.0536; 5.1575
2007-11-14-03; 1.0299; 5.3984
2007-11-14-04; 0.9601; 5.1881
2007-11-14-05; 0.9892; 5.2297
2007-11-14-06; 0.9457; 5.0910
2007-11-14-07; 0.9103; 5.2017
2007-11-14-08; 0.8535; 5.1125
2007-11-14-09; 0.9045; 5.2766
2007-11-14-10; 0.9621; 5.3830
2007-11-14-11; 0.8791; 5.0956
2007-11-14-12; 0.9267; 5.4256
2007-11-14-13; 0.8738; 5.2624
2007-11-14-14; 0.8103; 4.9122
2007-11-14-15; 0.8116; 5.1515
2007-11-14-16; 0.8638; 5.3273
2007-11-14-17; 0.8322; 5.1310
2007-11-14-18; 0.7522; 5.3344
2007-11-14-19; 0.7105; 5.1726
2007-11-14-20; 0.7040; 5.1707
2007-11-14-21; 0.7721; 5.4770
2007-11-14-22; 0.6626; 5.1248
2007-11-14-23; 0.6796; 5.3639
2007-11-15-00; 0.6304; 4.9214
2007-11-15-01; 0.6687; 4.7032
2007-11-15-02; 0.6251; 4.5095
2007-11-15-03; 0.6294; 4.5506
2007-11-15-04; 0.5609; 4.2865
2007-11-15-05; 0.5696; 4.2722
2007-11-15-06; 0.5736; 4.3202
2007-11-15-07; 0.5941; 4.5633
2007-11-15-08; 0.5561; 4.5023
2007-11-15-09; 0.5816; 4.5072
2007-11-15-10; 0.4938; 4.3885
2007-11-15-11; 0.4725; 4.5384
2007-11-15-12; 0.5017; 4.5938
2007-11-15-13; 0.4312; 4.3101
2007-11-15-14; 0.4336; 4.3173
2007-11-15-15; 0.3943; 4.2392
2007-11-15-16; 0.3609; 4.0276
2007-11-15-17; 0.4064; 4.0334
2007-11-15-18; 0.4494; 3.8978
2007-11-15-19; 0.6167; 3.9131
2007-11-15-20; 0.9899; 4.1627
2007-11-15-21; 1.1417; 4.4574
2007-11-15-22; 1.3587; 4.9135
2007-11-15-23; 1.4906; 5.2790
2007-11-16-00; 1.8390; 5.5894
2007-11-16-01; 2.5357; 6.1152
2007-11-16-02; 2.7451; 6.4016
2007-11-16-03; 3.0492; 6.8360
2007-11-16-04; 3.1093; 6.7658
2007-11-16-05; 2.8827; 6.7541
2007-11-16-06; 2.7961; 6.7319
2007-11-16-07; 2.7767; 6.6293
2007-11-16-08; 2.9592; 6.8983
2007-11-16-09; 2.7989; 6.6321
2007-11-16-10; 2.8754; 6.7603
2007-11-16-11; 2.6735; 6.7062
2007-11-16-12; 2.4514; 6.4682
2007-11-16-13; 2.4004; 6.4982
2007-11-16-14; 2.3455; 6.4839
2007-11-16-15; 2.3114; 6.2985
2007-11-16-16; 2.0193; 5.9557
2007-11-16-17; 1.9745; 6.0878
2007-11-16-18; 1.9436; 5.8574
2007-11-16-19; 1.9799; 6.0414
2007-11-16-20; 1.6614; 5.6470
2007-11-16-21; 2.0190; 5.9780
2007-11-16-22; 1.7644; 5.8685
2007-11-16-23; 1.7763; 5.8224
2007-11-17-00; 1.7006; 5.6584
2007-11-17-01; 1.6235; 5.6342
2007-11-17-02; 1.5291; 5.5237
2007-11-17-03; 1.5046; 5.5616
2007-11-17-04; 1.5141; 5.6118
2007-11-17-05; 1.5242; 5.6131
2007-11-17-06; 1.4268; 5.5037
2007-11-17-07; 1.2249; 5.3672
2007-11-17-08; 1.3268; 5.6702
2007-11-17-09; 1.1389; 5.2173
2007-11-17-10; 1.2704; 5.5777
2007-11-17-11; 1.1704; 5.4743
2007-11-17-12; 1.1072; 5.2883
2007-11-17-13; 1.0745; 5.2822
2007-11-17-14; 1.0492; 5.2995
2007-11-17-15; 0.9945; 5.2208
2007-11-17-16; 0.9345; 4.9670
2007-11-17-17; 0.9606; 4.9822
2007-11-17-18; 0.8244; 4.6821
2007-11-17-19; 0.8441; 4.7385
2007-11-17-20; 0.8180; 4.7132
2007-11-17-21; 0.8078; 4.4749
2007-11-17-22; 0.7468; 4.4676
2007-11-17-23; 0.6965; 4.4800
2007-11-18-00; 0.6520; 4.3953
2007-11-18-02; 0.6447; 4.2090
2007-11-18-03; 0.6776; 4.0914
2007-11-18-04; 0.6730; 3.8162
2007-11-18-05; 0.7283; 3.7263
2007-11-18-06; 0.7698; 3.7978
2007-11-18-07; 0.7472; 3.7116
2007-11-18-08; 0.7681; 3.6058
2007-11-18-09; 0.8641; 3.5683
2007-11-18-10; 0.7711; 3.7230
2007-11-18-11; 0.7602; 3.7961
2007-11-18-12; 0.7144; 3.7578
2007-11-18-13; 0.6987; 3.5889
2007-11-18-14; 0.6253; 3.6232
2007-11-18-15; 0.6395; 3.7427
2007-11-18-16; 0.6087; 3.8395
2007-11-18-17; 0.5988; 3.8930
2007-11-18-18; 0.5657; 3.9221
2007-11-18-19; 0.5537; 3.9545
2007-11-18-20; 0.5607; 3.8185
2007-11-18-21; 0.5959; 3.8864
2007-11-18-22; 0.6041; 3.8697
2007-11-18-23; 0.5452; 3.9347
2007-11-19-00; 0.5663; 3.8775
2007-11-19-01; 0.5470; 3.7885
2007-11-19-03; 0.5663; 3.6828
2007-11-19-04; 0.6771; 3.6052
2007-11-19-05; 0.7048; 3.7753
2007-11-19-06; 0.6909; 3.9737
2007-11-19-07; 0.6697; 4.0455
2007-11-19-08; 0.7178; 4.3405
2007-11-19-09; 0.7511; 4.3447
2007-11-19-10; 0.8275; 4.5938
2007-11-19-11; 0.9656; 4.8252
2007-11-19-12; 0.9147; 4.7418
2007-11-19-13; 0.8273; 4.8008
2007-11-19-14; 0.9043; 4.8585
2007-11-19-15; 0.8604; 4.8154
2007-11-19-16; 0.8435; 4.8274
2007-11-19-17; 0.8334; 4.7419
2007-11-19-18; 0.8320; 4.9625
2007-11-19-19; 0.7977; 4.8703
2007-11-19-20; 0.8080; 4.9700
2007-11-19-21; 0.8109; 4.9001
2007-11-19-22; 0.8797; 5.1593
2007-11-19-23; 0.9123; 4.9913
2007-11-20-00; 0.8579; 4.9252
2007-11-20-01; 0.8903; 4.8731
2007-11-20-02; 0.8912; 4.8062
2007-11-20-03; 0.9001; 4.7179
2007-11-20-04; 0.9538; 4.5640
2007-11-20-05; 1.0787; 4.3058
2007-11-20-06; 1.1229; 4.3459
2007-11-20-07; 1.0468; 4.3523
2007-11-20-08; 0.8982; 4.6352
2007-11-20-09; 1.1154; 4.4027
2007-11-20-10; 1.1137; 4.1115
2007-11-20-11; 1.1150; 4.1498
2007-11-20-12; 1.0138; 4.3537
2007-11-20-13; 1.0155; 4.4890
2007-11-20-14; 1.0586; 4.6861
2007-11-20-15; 1.1808; 4.6261
2007-11-20-16; 1.2534; 4.4259
2007-11-20-17; 1.3092; 4.4504
2007-11-20-18; 1.2871; 4.8566
2007-11-20-19; 1.2614; 4.9008
2007-11-20-20; 1.2807; 5.1933
2007-11-20-21; 1.3272; 5.2435
2007-11-20-22; 1.2497; 5.1795
2007-11-20-23; 1.2625; 5.1815
2007-11-21-00; 1.1808; 5.2573
2007-11-21-01; 1.1332; 5.0671
2007-11-21-02; 1.1037; 5.0549
2007-11-21-03; 0.9404; 4.8333
2007-11-21-04; 0.9757; 4.6876
2007-11-21-05; 1.0032; 4.5909
2007-11-21-06; 0.9442; 4.8078
2007-11-21-07; 1.1948; 4.5645
2007-11-21-08; 1.4466; 4.6321
2007-11-21-09; 1.5705; 4.9517
2007-11-21-10; 1.6076; 5.0087
2007-11-21-11; 1.4343; 4.5275
2007-11-21-12; 1.4414; 5.3094
2007-11-21-13; 1.4771; 5.3620
2007-11-21-14; 1.3634; 5.2471
2007-11-21-15; 1.3541; 5.3901
2007-11-21-16; 1.5926; 5.9300
2007-11-21-17; 1.3404; 5.5195
2007-11-21-18; 1.3597; 5.6472
2007-11-21-19; 1.4773; 6.0897
2007-11-21-20; 1.3967; 6.0323
2007-11-21-21; 1.3751; 6.0664
2007-11-21-22; 1.4985; 6.3421
2007-11-21-23; 1.5574; 6.4264
2007-11-22-00; 1.5193; 6.6149
2007-11-22-01; 1.3968; 6.5332
2007-11-22-02; 1.2066; 6.0646
2007-11-22-03; 1.4435; 6.6123
2007-11-22-05; 1.5302; 6.5687
2007-11-22-06; 1.4040; 6.5525
2007-11-22-07; 1.4070; 6.6328
2007-11-22-08; 1.4112; 6.6075
2007-11-22-09; 1.2322; 6.2499
2007-11-22-10; 1.3363; 6.5103
2007-11-22-11; 1.3560; 6.6666
2007-11-22-12; 1.1580; 6.3576
2007-11-22-13; 1.1032; 6.3217
2007-11-22-14; 1.0948; 6.3741
2007-11-22-15; 1.0567; 6.3683
2007-11-22-16; 1.0418; 6.4294
2007-11-22-17; 1.0069; 6.3571
2007-11-22-18; 1.0297; 6.3177
2007-11-22-19; 0.9408; 6.3879
2007-11-22-20; 0.8971; 6.0550
2007-11-22-21; 0.9296; 6.2865
2007-11-22-22; 0.9040; 6.1535
2007-11-22-23; 0.8515; 6.0169
2007-11-23-00; 0.9169; 5.7253
2007-11-23-01; 0.9983; 5.2669
2007-11-23-02; 1.0351; 5.1320
2007-11-23-03; 1.2377; 5.2895
2007-11-23-04; 1.4714; 5.2762
2007-11-23-05; 1.4375; 5.2812
2007-11-23-06; 1.5341; 5.4365
2007-11-23-07; 1.6302; 5.5376
2007-11-23-08; 1.7446; 5.7667
2007-11-23-09; 1.8558; 5.7744
2007-11-23-10; 1.8364; 5.9060
2007-11-23-11; 2.3734; 6.2676
2007-11-23-12; 2.0212; 6.0792
2007-11-23-13; 2.2938; 6.2105
2007-11-23-14; 2.4537; 6.1931
2007-11-23-15; 2.3447; 6.0932
2007-11-23-16; 2.5617; 6.1676
2007-11-23-17; 2.6541; 6.3223
2007-11-23-18; 2.6406; 6.2432
2007-11-23-19; 2.6704; 6.2267
2007-11-23-20; 2.6172; 6.1785
2007-11-23-21; 2.3221; 6.0615
2007-11-23-22; 2.1763; 6.0195
2007-11-23-23; 2.2177; 5.9103
2007-11-24-00; 2.2109; 6.2605
2007-11-24-01; 2.1038; 5.7047
2007-11-24-02; 2.0384; 5.8952
2007-11-24-03; 2.1666; 6.0706
2007-11-24-04; 2.2728; 6.1114
2007-11-24-05; 2.0505; 5.7820
2007-11-24-06; 2.0770; 5.8054
2007-11-24-07; 2.2049; 5.8083
2007-11-24-08; 2.1029; 5.7423
2007-11-24-09; 1.9097; 5.7085
2007-11-24-10; 1.7248; 5.5463
2007-11-24-11; 1.8122; 5.6525
2007-11-24-12; 1.8024; 5.5640
2007-11-24-13; 1.8906; 5.7822
2007-11-24-14; 1.7013; 5.4640
2007-11-24-15; 1.7697; 5.4672
2007-11-24-16; 1.8670; 5.4984
2007-11-24-17; 1.8793; 5.2524
2007-11-24-18; 1.6796; 5.2245
2007-11-24-19; 1.6221; 5.2723
2007-11-24-20; 1.7673; 4.9874
2007-11-24-21; 1.8827; 4.9958
2007-11-24-22; 1.9774; 4.9790
2007-11-24-23; 1.6095; 4.7681
2007-11-25-00; 1.3886; 5.0877
2007-11-25-01; 1.5591; 5.0632
2007-11-25-02; 1.3581; 5.0912
2007-11-25-03; 1.3096; 5.1250
2007-11-25-05; 1.3625; 4.9782
2007-11-25-06; 1.3411; 5.1182
2007-11-25-07; 1.2835; 5.0344
2007-11-25-08; 1.2204; 4.8375
2007-11-25-09; 1.2432; 4.8304
2007-11-25-10; 1.2893; 4.6338
2007-11-25-11; 1.2541; 4.5995
2007-11-25-12; 1.3906; 4.7443
2007-11-25-13; 1.3934; 4.6253
2007-11-25-15; 1.4876; 4.6671
2007-11-25-16; 1.3832; 4.5572
2007-11-25-17; 1.5381; 4.5557
2007-11-25-18; 1.5192; 4.7009
2007-11-25-19; 1.5506; 4.7561
2007-11-25-20; 1.5139; 4.7156
2007-11-25-21; 1.5385; 4.6958
2007-11-25-22; 1.5552; 4.7461
2007-11-25-23; 1.5596; 4.6733
2007-11-26-00; 1.4233; 4.7466
2007-11-26-01; 1.4434; 4.8876
2007-11-26-02; 1.3879; 4.6647
2007-11-26-03; 1.3993; 4.7319
2007-11-26-04; 1.4017; 4.7927
2007-11-26-05; 1.3782; 4.5983
2007-11-26-06; 1.4570; 4.5475
2007-11-26-07; 1.5009; 4.5847
2007-11-26-08; 1.5361; 4.6013
2007-11-26-09; 1.5403; 4.5170
2007-11-26-10; 1.6368; 4.7097
2007-11-26-11; 1.4013; 4.4784
2007-11-26-12; 1.4644; 4.5752
2007-11-26-13; 1.3729; 4.5711
2007-11-26-14; 1.3472; 4.6455
2007-11-26-15; 1.2848; 4.5378
2007-11-26-16; 1.9381; 5.0752
2007-11-26-17; 1.8705; 5.3016
2007-11-26-18; 2.2298; 5.7015
2007-11-26-19; 2.5215; 6.1831
2007-11-26-20; 2.5134; 6.2031
2007-11-26-21; 2.1859; 5.9472
2007-11-26-22; 2.0657; 5.9472
2007-11-26-23; 2.2510; 6.1351
2007-11-27-00; 1.8940; 5.9039
2007-11-27-01; 2.0051; 6.2015
2007-11-27-02; 2.1467; 6.3279
2007-11-27-03; 1.9894; 6.1990
2007-11-27-04; 1.7025; 6.2006
2007-11-27-05; 1.5044; 5.9079
2007-11-27-06; 1.4807; 5.8314
2007-11-27-07; 1.6699; 6.0211
2007-11-27-08; 1.3444; 5.5196
2007-11-27-09; 1.4235; 5.4995
2007-11-27-10; 1.3217; 5.2913
2007-11-27-11; 1.3759; 5.4969
2007-11-27-12; 1.3736; 5.4862
2007-11-27-13; 1.3775; 5.3837
2007-11-27-14; 1.5231; 5.4062
2007-11-27-15; 1.4259; 5.3774
2007-11-27-16; 1.4067; 5.2180
2007-11-27-17; 1.5912; 5.2765
2007-11-27-18; 1.4845; 5.2141
2007-11-27-19; 1.3503; 5.1866
2007-11-27-20; 1.4996; 5.3397
2007-11-27-21; 1.3677; 5.2028
2007-11-27-22; 1.3750; 5.0742
2007-11-27-23; 1.2863; 5.0585
2007-11-28-00; 1.3596; 5.1694
2007-11-28-01; 1.3582; 5.1374
2007-11-28-02; 1.2759; 5.0219
2007-11-28-03; 1.3287; 5.1354
2007-11-28-04; 1.3530; 5.0423
2007-11-28-05; 1.2964; 4.9977
2007-11-28-06; 1.3444; 5.1058
2007-11-28-07; 1.1884; 4.9213
2007-11-28-08; 1.2687; 5.0620
2007-11-28-09; 1.2741; 5.0375
2007-11-28-10; 1.1879; 5.1181
2007-11-28-11; 1.2508; 5.1946
2007-11-28-12; 1.0391; 5.0213
2007-11-28-13; 1.1234; 5.1725
2007-11-28-14; 1.1683; 5.3204
2007-11-28-15; 1.0467; 5.3070
2007-11-28-16; 1.0313; 5.3464
2007-11-28-17; 0.9873; 5.3832
2007-11-28-18; 0.9388; 5.1867
2007-11-28-19; 0.9765; 5.3952
2007-11-28-20; 1.0212; 5.4545
2007-11-28-21; 0.9453; 5.4564
2007-11-28-22; 1.0414; 5.3016
2007-11-28-23; 0.9581; 5.3747
2007-11-29-00; 0.9308; 5.2758
2007-11-29-01; 0.9290; 5.3984
2007-11-29-02; 1.0601; 5.4394
2007-11-29-03; 0.9778; 5.4512
2007-11-29-04; 0.9793; 5.6383
2007-11-29-05; 1.1564; 5.8204
2007-11-29-06; 1.0160; 5.6943
2007-11-29-07; 0.9129; 5.4131
2007-11-29-08; 0.9152; 5.5309
2007-11-29-09; 0.9277; 5.5009
2007-11-29-10; 0.8338; 5.4743
2007-11-29-11; 0.8308; 5.6205
2007-11-29-12; 0.9260; 5.7149
2007-11-29-13; 0.8853; 5.3499
2007-11-29-14; 0.7617; 5.3266
2007-11-29-15; 0.7209; 5.0672
2007-11-29-16; 0.7428; 4.5786
2007-11-29-17; 0.7634; 4.4308
2007-11-29-18; 0.7500; 4.5926
2007-11-29-19; 0.7047; 4.3837
2007-11-29-20; 0.7080; 4.4774
2007-11-29-21; 0.7095; 4.4763
2007-11-29-22; 0.6616; 4.2409
2007-11-29-23; 0.7004; 4.2361
2007-11-30-00; 0.7644; 4.0690
2007-11-30-01; 0.8786; 4.1585
2007-11-30-02; 0.8860; 4.2404
2007-11-30-03; 0.9129; 4.3435
2007-11-30-04; 0.8107; 4.3561
2007-11-30-05; 0.7594; 4.2456
2007-11-30-06; 0.7921; 4.4247
2007-11-30-07; 0.6757; 4.2131
2007-11-30-08; 0.7293; 4.3499
2007-11-30-09; 0.7376; 4.2995
2007-11-30-10; 0.6942; 4.3302
2007-11-30-11; 0.8347; 4.5365
2007-11-30-12; 0.7322; 4.2650
2007-11-30-13; 0.7181; 4.2245
2007-11-30-14; 0.7455; 4.2373
2007-11-30-15; 0.7095; 4.1613
2007-11-30-16; 0.6900; 3.9233
2007-11-30-17; 0.6886; 3.9699
2007-11-30-18; 0.6698; 3.9951
2007-11-30-19; 0.6555; 3.9910
2007-11-30-20; 0.6248; 3.9888
2007-11-30-21; 0.5708; 4.0008
2007-11-30-22; 0.5652; 3.9965
2007-11-30-23; 0.5477; 3.9714
2007-12-01-00; 0.5745; 4.0280
2007-12-01-01; 0.5714; 3.7975
2007-12-01-02; 0.6635; 3.7355
2007-12-01-03; 0.7804; 3.7481
2007-12-01-04; 0.9149; 4.0202
2007-12-01-05; 0.9450; 4.0348
2007-12-01-06; 0.8313; 4.0328
2007-12-01-07; 0.8639; 4.0654
2007-12-01-08; 0.7715; 4.1448
2007-12-01-09; 0.7021; 4.1028
2007-12-01-10; 0.7072; 4.0516
2007-12-01-11; 0.7787; 4.2263
2007-12-01-12; 0.9345; 4.6852
2007-12-01-13; 0.9582; 4.6654
2007-12-01-14; 0.9903; 4.7586
2007-12-01-15; 0.9605; 4.5709
2007-12-01-16; 0.9883; 4.6617
2007-12-01-17; 1.0339; 4.4270
2007-12-01-18; 1.1237; 4.5079
2007-12-01-19; 1.1290; 4.5824
2007-12-01-20; 1.1913; 4.8309
2007-12-01-21; 1.2982; 5.0133
2007-12-01-22; 1.2362; 4.8840
2007-12-01-23; 1.2903; 4.9417
2007-12-02-00; 1.3019; 4.7823
2007-12-02-01; 1.3466; 4.8717
2007-12-02-02; 1.3018; 4.8357
2007-12-02-03; 1.2711; 4.7434
2007-12-02-04; 1.2670; 4.8551
2007-12-02-05; 1.2138; 4.7174
2007-12-02-06; 1.1360; 4.5385
2007-12-02-07; 1.1839; 4.5907
2007-12-02-08; 1.1380; 4.5408
2007-12-02-09; 1.1157; 4.4711
2007-12-02-10; 1.1166; 4.3311
2007-12-02-11; 1.0834; 4.3775
2007-12-02-12; 1.1063; 4.4444
2007-12-02-13; 1.0835; 4.4965
2007-12-02-14; 1.0584; 4.5071
2007-12-02-15; 1.1399; 4.6222
2007-12-02-16; 1.1364; 4.5722
2007-12-02-17; 1.1421; 4.7316
2007-12-02-18; 1.1242; 4.7114
2007-12-02-19; 1.2286; 4.8329
2007-12-02-20; 1.2950; 4.9104
2007-12-02-21; 1.1928; 4.8076
2007-12-02-22; 1.1089; 4.7421
2007-12-02-23; 1.1094; 4.7798
2007-12-03-00; 1.0835; 4.9061
2007-12-03-01; 1.0242; 4.8912
2007-12-03-02; 0.9111; 4.8058
2007-12-03-03; 0.8836; 4.7905
2007-12-03-04; 0.8716; 4.8117
2007-12-03-05; 0.8530; 4.8846
2007-12-03-06; 0.8642; 5.0118
2007-12-03-07; 0.8100; 4.9841
2007-12-03-08; 0.7630; 5.0541
2007-12-03-09; 0.8416; 5.1082
2007-12-03-10; 0.8643; 5.3372
2007-12-03-11; 0.7472; 5.3332
2007-12-03-12; 0.7818; 5.4015
2007-12-03-13; 0.7339; 5.0100
2007-12-03-14; 0.7229; 4.9850
2007-12-03-15; 0.7296; 5.0212
2007-12-03-16; 0.6842; 5.0219
2007-12-03-17; 0.7030; 4.8001
2007-12-03-18; 0.6909; 4.6934
2007-12-03-19; 0.6678; 4.5265
2007-12-03-20; 0.6634; 4.5432
2007-12-03-21; 0.6604; 4.2049
2007-12-03-22; 0.7448; 4.3138
2007-12-03-23; 0.8353; 4.1573
2007-12-04-00; 0.8802; 4.2040
2007-12-04-02; 1.0189; 4.3451
2007-12-04-03; 1.2305; 4.7861
2007-12-04-04; 1.3769; 4.9754
2007-12-04-05; 1.5734; 5.1898
2007-12-04-06; 1.7056; 5.0870
2007-12-04-07; 1.8160; 5.1750
2007-12-04-08; 2.0616; 5.4504
2007-12-04-09; 2.0208; 5.3464
2007-12-04-10; 1.9435; 5.3302
2007-12-04-11; 1.8203; 5.4053
2007-12-04-12; 1.7038; 5.1925
2007-12-04-13; 1.7798; 5.2642
2007-12-04-14; 1.7162; 5.3892
2007-12-04-15; 1.6237; 5.4027
2007-12-04-16; 1.7483; 5.5202
2007-12-04-17; 1.6546; 5.6226
2007-12-04-18; 1.6027; 5.5300
2007-12-04-19; 1.5980; 5.7304
2007-12-04-20; 1.4282; 5.6173
2007-12-04-21; 1.5076; 5.7016
2007-12-04-22; 1.3519; 5.5595
2007-12-04-23; 1.3135; 5.4873
2007-12-05-00; 1.3993; 5.6001
2007-12-05-01; 1.2355; 5.4343
2007-12-05-02; 1.2243; 5.5141
2007-12-05-03; 1.1511; 5.3539
2007-12-05-04; 1.0843; 5.1067
2007-12-05-05; 0.9939; 4.9755
2007-12-05-06; 0.9683; 5.1007
2007-12-05-07; 0.9193; 5.0219
2007-12-05-08; 0.7886; 4.9548
2007-12-05-09; 0.8315; 4.9637
2007-12-05-14; 0.6099; 4.6053
2007-12-05-15; 0.5954; 4.2947
2007-12-05-16; 0.6205; 3.8854
2007-12-05-17; 0.6668; 3.9343
2007-12-05-18; 0.6755; 3.9878
2007-12-05-19; 0.6219; 4.0038
2007-12-05-20; 0.6138; 3.8897
2007-12-05-21; 0.5526; 3.7628
2007-12-05-22; 0.5742; 3.7460
2007-12-05-23; 0.5475; 3.8461
2007-12-06-00; 0.5221; 3.8394
2007-12-06-01; 0.4977; 3.8856
2007-12-06-02; 0.4704; 3.9111
2007-12-06-03; 0.4404; 3.8645
2007-12-06-04; 0.3964; 3.8627
2007-12-06-05; 0.4083; 3.8670
2007-12-06-06; 0.3686; 4.0263
2007-12-06-09; 0.3108; 4.0257
2007-12-06-10; 0.3302; 3.9225
2007-12-06-11; 0.3178; 3.9401
2007-12-06-12; 0.3203; 3.9560
2007-12-06-13; 0.2956; 4.1354
2007-12-06-14; 0.2708; 4.1368
2007-12-06-15; 0.2603; 4.0875
2007-12-06-16; 0.2564; 4.1599
2007-12-06-17; 0.2500; 4.2810
2007-12-06-18; 0.2572; 4.3368
2007-12-06-19; 0.2500; 4.2308
2007-12-06-20; 0.2156; 4.3932
2007-12-06-21; 0.2402; 3.6043
2007-12-06-22; 0.2678; 3.1624
2007-12-06-23; 0.2983; 3.1509
2007-12-07-00; 0.3320; 3.0908
2007-12-07-01; 0.4204; 3.2761
2007-12-07-02; 0.4618; 3.3612
2007-12-07-03; 0.4881; 3.4816
2007-12-07-04; 0.4904; 3.4161
2007-12-07-05; 0.4526; 3.3260
2007-12-07-06; 0.4674; 3.4112
2007-12-07-07; 0.4108; 3.4110
2007-12-07-08; 0.3887; 3.5114
2007-12-07-09; 0.3872; 3.5049
2007-12-07-10; 0.3820; 3.5086
2007-12-07-11; 0.4039; 3.6053
2007-12-07-12; 0.4796; 3.5820
2007-12-07-13; 0.5364; 3.7027
2007-12-07-15; 0.6509; 3.9107
2007-12-07-16; 0.6161; 3.8783
2007-12-07-17; 0.6685; 3.9784
2007-12-07-18; 0.7006; 4.0903
2007-12-07-19; 0.7339; 4.0916
2007-12-07-20; 0.6868; 4.1349
2007-12-07-21; 0.7626; 3.9994
2007-12-07-22; 0.8180; 4.1880
2007-12-07-23; 0.7684; 4.0717
2007-12-08-00; 0.8650; 4.2146
2007-12-08-01; 0.8300; 4.3718
2007-12-08-02; 0.8680; 4.4995
2007-12-08-03; 0.7576; 4.3012
2007-12-08-04; 0.8189; 4.3108
2007-12-08-05; 0.7660; 4.2505
2007-12-08-06; 0.7953; 4.1019
2007-12-08-11; 0.9029; 4.1234
2007-12-08-12; 0.9144; 4.1660
2007-12-08-13; 0.8841; 4.1035
2007-12-08-14; 1.0145; 4.2594
2007-12-08-15; 1.1266; 4.3804
2007-12-08-16; 1.0283; 4.2048
2007-12-08-17; 1.1009; 4.3662
2007-12-08-18; 0.9899; 4.2314
2007-12-08-19; 1.0173; 4.2905
2007-12-08-20; 1.0084; 4.3348
2007-12-08-21; 0.9549; 4.3973
2007-12-08-22; 0.9460; 4.3312
2007-12-08-23; 0.9649; 4.2780
2007-12-09-00; 0.9649; 4.3002
2007-12-09-01; 0.9224; 4.2804
2007-12-09-02; 0.9545; 4.2848
2007-12-09-03; 0.9831; 4.3765
2007-12-09-04; 0.9518; 4.3025
2007-12-09-05; 1.0350; 4.1960
2007-12-09-06; 0.9726; 4.0795
2007-12-09-07; 1.0259; 4.3882
2007-12-09-08; 1.0688; 4.2464
2007-12-09-09; 1.0245; 4.4541
2007-12-09-10; 1.0433; 4.5956
2007-12-09-11; 1.1254; 4.4728
2007-12-09-12; 1.2328; 4.4251
2007-12-09-13; 1.4182; 4.7315
2007-12-09-14; 1.5280; 4.7703
2007-12-09-15; 1.6202; 4.9233
2007-12-09-16; 1.7075; 5.0227
2007-12-09-17; 1.8529; 5.2833
2007-12-09-18; 1.6065; 5.1545
2007-12-09-19; 1.4915; 5.1938
2007-12-09-20; 1.5628; 5.2592
2007-12-09-22; 1.4750; 5.1797
2007-12-09-23; 1.4865; 5.0910
2007-12-10-00; 1.6091; 5.3656
2007-12-10-01; 1.3716; 5.0462
2007-12-10-02; 1.3700; 5.0948
2007-12-10-03; 1.4704; 4.9513
2007-12-10-04; 1.5006; 5.0958
2007-12-10-05; 1.5291; 5.2450
2007-12-10-06; 1.5185; 5.3449
2007-12-10-07; 1.5951; 5.1853
