time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2006-09-29-16; 0.5748; 3.6039
2006-09-29-17; 0.6090; 3.7437
2006-09-29-18; 0.6378; 4.0784
2006-09-29-19; 0.6767; 4.4495
2006-09-29-20; 0.6399; 4.6291
2006-09-29-21; 0.6812; 5.1091
2006-09-29-22; 0.6452; 5.1695
2006-09-29-23; 0.6384; 4.8246
2006-09-30-00; 0.6531; 4.6480
2006-09-30-01; 0.6540; 4.8359
2006-09-30-02; 0.6073; 4.5898
2006-09-30-03; 0.5608; 4.4526
2006-09-30-04; 0.5432; 4.6335
2006-09-30-05; 0.5864; 5.0010
2006-09-30-06; 0.6140; 4.9853
2006-09-30-07; 0.5763; 4.9542
2006-09-30-08; 0.5450; 5.0666
2006-09-30-09; 0.5425; 4.9198
2006-09-30-10; 0.5672; 5.4086
2006-09-30-11; 0.5232; 5.3658
2006-09-30-12; 0.4865; 4.8706
2006-09-30-13; 0.5309; 4.9941
2006-09-30-14; 0.5172; 5.1663
2006-09-30-15; 0.4889; 4.8729
2006-09-30-16; 0.4966; 4.7979
2006-09-30-17; 0.5134; 4.6564
2006-09-30-18; 0.4956; 4.6301
2006-09-30-19; 0.4974; 4.9278
2006-09-30-20; 0.4726; 5.0671
2006-09-30-21; 0.4677; 5.1685
2006-09-30-22; 0.5011; 4.9093
2006-09-30-23; 0.4750; 4.5956
2006-10-01-00; 0.5141; 4.4565
2006-10-01-01; 0.5584; 4.1291
2006-10-01-02; 0.6199; 4.2422
2006-10-01-03; 0.6550; 4.0801
2006-10-01-04; 0.6717; 3.9055
2006-10-01-05; 0.7106; 4.0543
2006-10-01-06; 0.6696; 4.1475
2006-10-01-07; 0.6635; 4.2199
2006-10-01-08; 0.6327; 4.2126
2006-10-01-09; 0.6168; 4.2674
2006-10-01-10; 0.6305; 4.3230
2006-10-01-11; 0.6537; 4.7762
2006-10-01-12; 0.6295; 4.6596
2006-10-01-13; 0.5733; 4.5013
2006-10-01-14; 0.5924; 4.8409
2006-10-01-15; 0.6323; 4.8633
2006-10-01-16; 0.5742; 4.6126
2006-10-01-17; 0.5980; 4.5796
2006-10-01-18; 0.6388; 4.2747
2006-10-01-19; 0.7516; 4.2048
2006-10-01-20; 0.8501; 4.1835
2006-10-01-21; 0.8865; 4.3173
2006-10-01-22; 0.9371; 4.2922
2006-10-01-23; 0.9898; 4.5083
2006-10-02-00; 0.9402; 4.2878
2006-10-02-01; 0.9940; 4.4487
2006-10-02-02; 0.9667; 4.4195
2006-10-02-03; 0.9557; 4.2967
2006-10-02-04; 1.0115; 4.5030
2006-10-02-05; 0.9807; 4.6358
2006-10-02-06; 0.9742; 4.5937
2006-10-02-07; 0.9375; 4.5234
2006-10-02-08; 0.8854; 4.5454
2006-10-02-09; 0.8935; 4.6894
2006-10-02-10; 0.9178; 4.6580
2006-10-02-11; 0.8314; 4.4278
2006-10-02-12; 0.8533; 4.6128
2006-10-02-13; 0.8211; 4.4351
2006-10-02-14; 0.8169; 4.3697
2006-10-02-15; 0.7873; 4.2166
2006-10-02-16; 0.8560; 4.2177
2006-10-02-17; 0.8543; 4.3441
2006-10-02-18; 0.8772; 4.6418
2006-10-02-19; 0.9129; 4.8533
2006-10-02-20; 1.0009; 4.8960
2006-10-02-21; 0.9923; 4.7164
2006-10-02-22; 1.1361; 4.8142
2006-10-02-23; 1.1645; 4.9889
2006-10-03-00; 1.1156; 4.7199
2006-10-03-01; 1.2494; 4.9062
2006-10-03-02; 1.1131; 4.6036
2006-10-03-03; 1.1450; 4.5903
2006-10-03-04; 1.2497; 4.7621
2006-10-03-05; 1.2005; 4.8061
2006-10-03-06; 1.1493; 4.7941
2006-10-03-07; 1.1190; 5.0274
2006-10-03-08; 1.1787; 4.8776
2006-10-03-09; 1.3677; 5.1788
2006-10-03-10; 1.3546; 5.2184
2006-10-03-11; 1.3795; 5.0131
2006-10-03-12; 1.3299; 4.8886
2006-10-03-13; 1.3646; 4.8271
2006-10-03-14; 1.3620; 4.5292
2006-10-03-15; 1.3725; 4.7155
2006-10-03-16; 1.3090; 4.6831
2006-10-03-17; 1.4808; 4.9072
2006-10-03-18; 1.4581; 4.8253
2006-10-03-19; 1.5253; 4.8251
2006-10-03-20; 1.6389; 4.9320
2006-10-03-21; 1.6602; 4.8941
2006-10-03-22; 1.7019; 5.0589
2006-10-03-23; 1.7548; 5.1285
2006-10-04-00; 1.8472; 5.1005
2006-10-04-01; 1.7471; 4.9423
2006-10-04-02; 1.7220; 4.8723
2006-10-04-03; 1.7778; 4.8995
2006-10-04-04; 1.9004; 5.1361
2006-10-04-05; 1.9843; 5.1865
2006-10-04-06; 1.7947; 5.1630
2006-10-04-07; 1.8305; 5.3245
2006-10-04-08; 1.7790; 5.3462
2006-10-04-09; 1.8553; 5.5568
2006-10-04-10; 1.7407; 5.4251
2006-10-04-11; 1.7387; 5.3330
2006-10-04-12; 1.7318; 4.9734
2006-10-04-13; 2.0722; 5.0986
2006-10-04-14; 2.0550; 5.1501
2006-10-04-15; 1.9769; 5.1839
2006-10-04-16; 1.9589; 5.2082
2006-10-04-17; 1.9203; 5.2164
2006-10-04-18; 1.9228; 5.3424
2006-10-04-19; 1.8573; 5.2434
2006-10-04-20; 1.8110; 5.1990
2006-10-04-21; 1.7603; 5.3000
2006-10-04-22; 1.6634; 5.2475
2006-10-04-23; 1.6805; 5.1282
2006-10-05-00; 1.6481; 5.0272
2006-10-05-01; 1.9018; 5.2952
2006-10-05-02; 2.0439; 5.5339
2006-10-05-03; 2.1954; 5.7045
2006-10-05-04; 2.0986; 5.7312
2006-10-05-05; 1.9428; 5.5661
2006-10-05-06; 1.8072; 5.3854
2006-10-05-07; 1.7924; 5.3010
2006-10-05-08; 1.8097; 5.2584
2006-10-05-09; 1.6787; 5.1852
2006-10-05-10; 1.6724; 5.1978
2006-10-05-11; 1.5837; 5.1785
2006-10-05-12; 1.6013; 5.0279
2006-10-05-13; 1.5849; 4.8738
2006-10-05-14; 1.6908; 4.9178
2006-10-05-15; 1.7009; 4.7330
2006-10-05-16; 1.7835; 4.9649
2006-10-05-17; 1.6761; 4.5559
2006-10-05-18; 1.7154; 4.6235
2006-10-05-19; 1.7173; 4.5527
2006-10-05-20; 1.5494; 4.6806
2006-10-05-21; 1.4794; 4.8409
2006-10-05-22; 1.3525; 4.8238
2006-10-05-23; 1.3567; 4.9800
2006-10-06-00; 1.4262; 5.0304
2006-10-06-01; 1.4356; 5.1559
2006-10-06-02; 1.4928; 5.1083
2006-10-06-03; 1.4735; 5.2107
2006-10-06-04; 1.4663; 5.0998
2006-10-06-05; 1.4754; 5.1979
2006-10-06-06; 1.4657; 5.3819
2006-10-06-07; 1.5010; 5.4140
2006-10-06-08; 1.3959; 5.4723
2006-10-06-09; 1.3167; 5.6335
2006-10-06-10; 1.1593; 5.6311
2006-10-06-11; 1.1871; 5.9033
2006-10-06-12; 1.0990; 5.7483
2006-10-06-13; 1.0905; 5.7651
2006-10-06-14; 1.0112; 5.6373
2006-10-06-15; 1.1325; 5.7260
2006-10-06-16; 1.2789; 5.8488
2006-10-06-17; 1.3130; 5.7034
2006-10-06-18; 1.3066; 5.7559
2006-10-06-19; 1.2853; 5.8310
2006-10-06-20; 1.3371; 5.9518
2006-10-06-21; 1.3228; 6.0094
2006-10-06-22; 1.3213; 6.0941
2006-10-06-23; 1.2146; 5.9282
2006-10-07-00; 1.1785; 5.7129
2006-10-07-01; 1.1079; 5.7899
2006-10-07-02; 1.0916; 5.6953
2006-10-07-03; 1.0310; 5.6215
2006-10-07-04; 1.0808; 5.8738
2006-10-07-05; 1.0520; 5.8389
2006-10-07-06; 0.9476; 5.6294
2006-10-07-07; 0.9447; 5.6952
2006-10-07-08; 0.9562; 5.8429
2006-10-07-09; 0.9567; 5.9552
2006-10-07-10; 0.8379; 5.8285
2006-10-07-11; 0.8183; 5.5444
2006-10-07-12; 0.8116; 4.8458
2006-10-07-13; 0.8154; 4.6538
2006-10-07-14; 0.8008; 4.6699
2006-10-07-15; 0.7958; 4.7204
2006-10-07-16; 0.7939; 4.8956
2006-10-07-17; 0.8663; 5.3811
2006-10-07-18; 0.8998; 5.6222
2006-10-07-19; 0.8954; 5.6444
2006-10-07-20; 0.9685; 5.7058
2006-10-07-21; 0.9909; 5.9163
2006-10-07-22; 0.9156; 5.7893
2006-10-07-23; 1.0104; 6.3155
2006-10-08-00; 1.0575; 6.6827
2006-10-08-01; 1.0748; 6.7835
2006-10-08-02; 1.1119; 6.7123
2006-10-08-03; 1.1092; 6.6049
2006-10-08-04; 1.0480; 6.0781
2006-10-08-05; 1.1005; 5.7016
2006-10-08-06; 1.2826; 4.5995
2006-10-08-07; 1.2524; 4.3856
2006-10-08-08; 1.2691; 4.6225
2006-10-08-09; 1.1091; 4.7196
2006-10-08-10; 1.1712; 5.2126
2006-10-08-11; 1.1307; 5.2047
2006-10-08-12; 1.1342; 4.9934
2006-10-08-13; 1.1416; 5.0895
2006-10-08-14; 1.1861; 5.3640
2006-10-08-15; 1.2236; 5.6136
2006-10-08-16; 1.2196; 5.6634
2006-10-08-17; 1.1984; 5.5979
2006-10-08-18; 1.2497; 5.0315
2006-10-08-19; 1.2603; 4.9068
2006-10-08-20; 1.2535; 5.0933
2006-10-08-21; 1.2223; 5.2361
2006-10-08-22; 1.2129; 5.3959
2006-10-08-23; 1.1531; 5.2374
2006-10-09-00; 1.1986; 5.4861
2006-10-09-01; 1.2527; 5.7387
2006-10-09-02; 1.2140; 5.6996
2006-10-09-03; 1.2274; 5.8876
2006-10-09-04; 1.2796; 5.9472
2006-10-09-05; 1.3254; 5.7634
2006-10-09-06; 1.3103; 5.4642
2006-10-09-07; 1.3390; 5.5583
2006-10-09-08; 1.2547; 5.3151
2006-10-09-09; 1.2482; 5.6172
2006-10-09-10; 1.2009; 5.8998
2006-10-09-11; 1.1496; 5.8211
2006-10-09-12; 1.2089; 6.1236
2006-10-09-13; 1.2449; 6.3512
2006-10-09-14; 1.2099; 6.2323
2006-10-09-15; 1.1373; 6.0102
2006-10-09-16; 1.2099; 6.3951
2006-10-09-17; 1.2257; 6.0433
2006-10-09-18; 1.2134; 5.6498
2006-10-09-19; 1.2224; 5.6074
2006-10-09-20; 1.1751; 5.5199
2006-10-09-21; 1.1286; 5.4446
2006-10-09-22; 1.0885; 4.9059
2006-10-09-23; 1.1510; 4.5527
2006-10-10-00; 1.1594; 5.0175
2006-10-10-01; 1.1401; 5.5669
2006-10-10-02; 1.0833; 5.4412
2006-10-10-03; 1.0215; 5.2516
2006-10-10-04; 1.0264; 5.2821
2006-10-10-05; 1.1361; 5.0096
2006-10-10-06; 1.2615; 5.1394
2006-10-10-07; 1.2195; 4.9250
2006-10-10-08; 1.2034; 4.9459
2006-10-10-09; 1.2320; 5.1194
2006-10-10-10; 1.2249; 4.9596
2006-10-10-11; 1.2451; 5.2091
2006-10-10-12; 1.1709; 5.0252
2006-10-10-13; 1.1461; 5.1291
2006-10-10-14; 1.0088; 5.0677
2006-10-10-15; 1.1147; 5.4918
2006-10-10-16; 1.0653; 5.3639
2006-10-10-17; 1.1370; 5.7157
2006-10-10-18; 1.1654; 5.8193
2006-10-10-19; 1.1489; 5.8962
2006-10-10-20; 1.1987; 6.2023
2006-10-10-21; 1.0795; 6.1719
2006-10-10-22; 0.9947; 6.1382
2006-10-10-23; 0.9970; 6.1729
2006-10-11-00; 0.9633; 6.2296
2006-10-11-01; 0.9393; 6.3050
2006-10-11-02; 0.9186; 6.3127
2006-10-11-03; 0.9384; 6.4645
2006-10-11-04; 0.9058; 6.4638
2006-10-11-05; 0.8880; 6.4483
2006-10-11-06; 0.9751; 6.6667
2006-10-11-07; 0.9435; 6.8147
2006-10-11-08; 0.9543; 7.0349
2006-10-11-09; 0.8963; 6.7874
2006-10-11-10; 0.9510; 7.2775
2006-10-11-11; 0.9114; 7.2910
2006-10-11-12; 0.8582; 7.3107
2006-10-11-13; 0.9195; 7.2758
2006-10-11-14; 0.9111; 6.5191
2006-10-11-15; 0.8475; 6.0057
2006-10-11-16; 0.8443; 6.1413
2006-10-11-17; 0.8607; 6.0948
2006-10-11-18; 0.8308; 5.9412
2006-10-11-19; 0.8106; 5.7459
2006-10-11-20; 0.8459; 5.1340
2006-10-11-21; 0.8030; 4.7615
2006-10-11-22; 0.8529; 4.8852
2006-10-11-23; 0.7781; 4.5629
2006-10-12-00; 0.7319; 4.7821
2006-10-12-01; 0.6861; 4.8797
2006-10-12-02; 0.7518; 5.3414
2006-10-12-03; 0.6220; 4.7620
2006-10-12-04; 0.6894; 4.8000
2006-10-12-05; 0.7361; 4.3779
2006-10-12-06; 0.7372; 4.2376
2006-10-12-07; 0.7234; 3.9856
2006-10-12-08; 0.7163; 3.9643
2006-10-12-09; 0.7277; 4.1814
2006-10-12-10; 0.7050; 4.1099
2006-10-12-11; 0.6626; 4.1676
2006-10-12-12; 0.6513; 4.1934
2006-10-12-13; 0.6158; 4.0530
2006-10-12-14; 0.6089; 3.8613
2006-10-12-15; 0.6427; 4.0016
2006-10-12-16; 0.5893; 3.9966
2006-10-12-17; 0.6154; 3.8804
2006-10-12-18; 0.5990; 4.1055
2006-10-12-19; 0.5653; 4.5444
2006-10-12-20; 0.5002; 4.6049
2006-10-12-21; 0.4850; 4.9167
2006-10-12-22; 0.4815; 5.1031
2006-10-12-23; 0.4207; 4.8199
2006-10-13-00; 0.3945; 4.7254
2006-10-13-01; 0.4410; 4.4836
2006-10-13-02; 0.4402; 3.5038
2006-10-13-03; 0.4501; 3.4413
2006-10-13-04; 0.4541; 3.1447
2006-10-13-05; 0.4326; 3.4515
2006-10-13-06; 0.4555; 3.4999
2006-10-13-07; 0.5180; 3.4408
2006-10-13-08; 0.5512; 3.3204
2006-10-13-09; 0.5472; 3.3376
2006-10-13-10; 0.5429; 3.2933
2006-10-13-11; 0.5105; 3.2565
2006-10-13-12; 0.4778; 3.4600
2006-10-13-13; 0.4093; 3.4141
2006-10-13-14; 0.4063; 4.0383
2006-10-13-15; 0.4041; 3.8627
2006-10-13-16; 0.4160; 4.5132
2006-10-13-17; 0.3607; 4.5067
2006-10-13-18; 0.3989; 4.9867
2006-10-13-19; 0.3722; 4.6288
2006-10-13-20; 0.4228; 5.1172
2006-10-13-21; 0.3748; 4.8455
2006-10-13-22; 0.4285; 5.3399
2006-10-13-23; 0.4270; 5.5346
2006-10-14-00; 0.3918; 5.6365
2006-10-14-01; 0.4205; 5.3644
2006-10-14-02; 0.3944; 5.3704
2006-10-14-03; 0.3915; 5.6448
2006-10-14-04; 0.3143; 5.3995
2006-10-14-05; 0.3186; 5.7200
2006-10-14-06; 0.3278; 5.8286
2006-10-14-07; 0.3344; 4.6201
2006-10-14-08; 0.4167; 3.8302
2006-10-14-09; 0.5430; 3.3290
2006-10-14-10; 0.7316; 3.4818
2006-10-14-11; 0.9074; 3.7057
2006-10-14-12; 1.1908; 3.9887
2006-10-14-13; 1.2611; 4.2427
2006-10-14-14; 1.5113; 4.5374
2006-10-14-15; 1.6313; 4.7207
2006-10-14-16; 1.6869; 4.7670
2006-10-14-17; 1.6507; 4.8897
2006-10-14-18; 1.6474; 4.9950
2006-10-14-19; 1.5524; 4.9542
2006-10-14-20; 1.5641; 5.0164
2006-10-14-21; 1.6434; 5.0182
2006-10-14-22; 1.6303; 5.0375
2006-10-14-23; 1.7020; 4.9514
2006-10-15-00; 1.6441; 5.0473
2006-10-15-01; 1.6451; 5.2490
2006-10-15-02; 1.6324; 5.3094
2006-10-15-03; 1.6045; 5.4422
2006-10-15-04; 1.5802; 5.4348
2006-10-15-05; 1.5040; 5.2590
2006-10-15-06; 1.5256; 5.3898
2006-10-15-07; 1.4775; 5.5436
2006-10-15-08; 1.3944; 5.2852
2006-10-15-09; 1.2781; 4.9393
2006-10-15-10; 1.2548; 4.8502
2006-10-15-11; 1.2233; 4.6987
2006-10-15-12; 1.2275; 4.7285
2006-10-15-13; 1.1742; 4.6821
2006-10-15-14; 1.1772; 4.6588
2006-10-15-15; 1.1134; 4.5992
2006-10-15-16; 1.1519; 4.7597
2006-10-15-17; 1.0525; 4.7712
2006-10-15-18; 0.9991; 4.7155
2006-10-15-19; 1.0074; 4.8598
2006-10-15-20; 1.0241; 4.8976
2006-10-15-21; 0.9528; 4.9350
2006-10-15-22; 0.9706; 5.0532
2006-10-15-23; 0.9180; 4.9517
2006-10-16-00; 0.9530; 4.9202
2006-10-16-01; 0.9550; 4.9462
2006-10-16-02; 0.9541; 4.9808
2006-10-16-03; 0.9528; 4.8436
2006-10-16-04; 0.9041; 4.5988
2006-10-16-05; 0.8988; 4.6199
2006-10-16-06; 0.8516; 4.5553
2006-10-16-07; 0.8891; 4.6022
2006-10-16-08; 0.8865; 4.4182
2006-10-16-09; 0.9016; 4.1697
2006-10-16-10; 0.9263; 4.1870
2006-10-16-11; 0.9688; 4.1421
2006-10-16-12; 1.0059; 4.2072
2006-10-16-13; 1.0197; 4.2119
2006-10-16-14; 0.9859; 4.0785
2006-10-16-15; 1.0881; 4.2093
2006-10-16-16; 1.1660; 4.1726
2006-10-16-17; 1.2034; 4.2490
2006-10-16-18; 1.1564; 4.2198
2006-10-16-19; 1.2012; 4.2640
2006-10-16-20; 1.2011; 4.2768
2006-10-16-21; 1.1384; 4.4270
2006-10-16-22; 1.0880; 4.4595
2006-10-16-23; 1.0471; 4.1751
2006-10-17-00; 1.0650; 4.1003
2006-10-17-01; 1.0883; 4.0394
2006-10-17-02; 1.1728; 4.0850
2006-10-17-03; 1.2578; 4.0428
2006-10-17-04; 1.4252; 4.1773
2006-10-17-05; 1.4250; 4.3942
2006-10-17-06; 1.3130; 4.4374
2006-10-17-07; 1.2591; 4.3717
2006-10-17-08; 1.1296; 4.1805
2006-10-17-09; 1.1628; 4.2653
2006-10-17-10; 1.0878; 4.1926
2006-10-17-11; 1.0781; 4.2960
2006-10-17-12; 1.0329; 4.4850
2006-10-17-13; 1.0365; 4.4059
2006-10-17-14; 0.9621; 4.3975
2006-10-17-15; 0.9827; 4.4652
2006-10-17-16; 1.0178; 4.5780
2006-10-17-17; 1.0027; 4.6145
2006-10-17-18; 1.1240; 5.1090
2006-10-17-19; 1.1794; 5.3159
2006-10-17-20; 1.2214; 5.4548
2006-10-17-21; 1.3014; 5.4761
2006-10-17-22; 1.2674; 5.3491
2006-10-17-23; 1.2404; 5.1020
2006-10-18-00; 1.2319; 4.8816
2006-10-18-01; 1.1728; 4.8990
2006-10-18-02; 1.1868; 4.7905
2006-10-18-03; 1.1736; 4.5346
2006-10-18-04; 1.2086; 4.6048
2006-10-18-05; 1.2108; 4.3647
2006-10-18-06; 1.1793; 4.3516
2006-10-18-07; 1.1974; 4.3724
2006-10-18-08; 1.2201; 4.6090
2006-10-18-09; 1.0555; 4.4995
2006-10-18-10; 1.0824; 5.0521
2006-10-18-11; 0.9699; 5.0175
2006-10-18-12; 0.9911; 5.0323
2006-10-18-13; 0.8960; 4.7765
2006-10-18-14; 0.8929; 4.6894
2006-10-18-15; 0.8713; 4.7032
2006-10-18-16; 0.8361; 4.5793
2006-10-18-17; 0.8735; 4.6347
2006-10-18-18; 0.8782; 4.7011
2006-10-18-19; 0.8675; 5.0458
2006-10-18-20; 0.8361; 5.1519
2006-10-18-21; 0.7251; 5.1139
2006-10-18-22; 0.8418; 5.5728
2006-10-18-23; 0.8507; 5.6040
2006-10-19-00; 0.7885; 5.6383
2006-10-19-01; 0.8351; 5.1605
2006-10-19-02; 0.8685; 4.7436
2006-10-19-03; 0.8389; 4.7712
2006-10-19-04; 0.8579; 4.5210
2006-10-19-05; 0.9307; 4.3522
2006-10-19-06; 0.9378; 4.1376
2006-10-19-07; 1.0221; 4.2178
2006-10-19-08; 1.0151; 4.0604
2006-10-19-09; 0.9628; 3.9785
2006-10-19-10; 0.9575; 3.9131
2006-10-19-11; 0.9153; 4.0000
2006-10-19-12; 0.9119; 3.9339
2006-10-19-13; 0.8896; 4.0294
2006-10-19-14; 0.8660; 4.0689
2006-10-19-15; 0.8069; 4.1389
2006-10-19-16; 0.8564; 4.4390
2006-10-19-17; 0.7935; 4.4294
2006-10-19-18; 0.7870; 4.4167
2006-10-19-19; 0.7806; 4.2375
2006-10-19-20; 0.7849; 4.5133
2006-10-19-21; 0.7670; 4.4615
2006-10-19-22; 0.7619; 4.2965
2006-10-19-23; 0.7928; 4.6862
2006-10-20-00; 0.7296; 4.2503
2006-10-20-01; 0.7650; 4.2688
2006-10-20-02; 0.8269; 3.9457
2006-10-20-03; 0.8810; 3.9933
2006-10-20-04; 0.9108; 4.1127
2006-10-20-05; 0.9066; 3.9148
2006-10-20-06; 0.9508; 3.8932
2006-10-20-07; 0.9628; 4.0036
2006-10-20-08; 0.9007; 4.0224
2006-10-20-09; 0.9124; 4.0712
2006-10-20-10; 0.8703; 4.1254
2006-10-20-11; 0.7590; 4.1485
2006-10-20-12; 0.7417; 4.5219
2006-10-20-13; 0.6458; 4.7355
2006-10-20-14; 0.6344; 4.9354
2006-10-20-15; 0.6520; 5.3394
2006-10-20-16; 0.6336; 5.1021
2006-10-20-17; 0.6058; 5.2838
2006-10-20-18; 0.5576; 5.2712
2006-10-20-19; 0.5838; 5.6398
2006-10-20-20; 0.5777; 6.1956
2006-10-20-21; 0.5931; 6.3099
2006-10-20-22; 0.5797; 6.7000
2006-10-20-23; 0.5783; 5.4604
2006-10-21-00; 0.6192; 3.8575
2006-10-21-01; 0.6424; 3.4806
2006-10-21-02; 0.6818; 3.5550
2006-10-21-03; 0.7297; 3.6691
2006-10-21-04; 0.8074; 3.7211
2006-10-21-05; 0.8188; 3.7401
2006-10-21-06; 0.8251; 3.9024
2006-10-21-07; 0.8388; 3.8369
2006-10-21-08; 0.8626; 3.9012
2006-10-21-09; 0.8443; 3.9810
2006-10-21-10; 0.7703; 3.9207
2006-10-21-11; 0.7611; 3.9467
2006-10-21-12; 0.6935; 4.1121
2006-10-21-13; 0.6286; 4.3285
2006-10-21-14; 0.5237; 4.3647
2006-10-21-15; 0.4928; 4.9230
2006-10-21-16; 0.5387; 5.3588
2006-10-21-17; 0.5166; 5.2784
2006-10-21-18; 0.5931; 5.6197
2006-10-21-19; 0.5458; 5.3048
2006-10-21-20; 0.5755; 5.7168
2006-10-21-21; 0.5528; 5.3760
2006-10-21-22; 0.5792; 4.8308
2006-10-21-23; 0.6135; 4.6706
2006-10-22-00; 0.5457; 4.3392
2006-10-22-01; 0.5827; 4.6303
2006-10-22-02; 0.5912; 4.6897
2006-10-22-03; 0.6420; 4.6366
2006-10-22-04; 0.6655; 4.7646
2006-10-22-05; 0.7395; 4.8713
2006-10-22-06; 0.7142; 4.5297
2006-10-22-07; 0.7440; 4.6966
2006-10-22-08; 0.6802; 4.6133
2006-10-22-09; 0.6743; 4.5040
2006-10-22-10; 0.6850; 4.1970
2006-10-22-11; 0.6936; 4.0961
2006-10-22-12; 0.7200; 4.0199
2006-10-22-13; 0.6944; 4.0598
2006-10-22-14; 0.6451; 4.1242
2006-10-22-15; 0.5879; 4.1126
2006-10-22-16; 0.5778; 4.2992
2006-10-22-17; 0.5476; 4.2834
2006-10-22-18; 0.5646; 4.4319
2006-10-22-19; 0.5323; 4.4516
2006-10-22-20; 0.5601; 4.4855
2006-10-22-21; 0.5663; 4.2580
2006-10-22-22; 0.5492; 4.5436
2006-10-22-23; 0.5043; 4.7177
2006-10-23-00; 0.4943; 4.8048
2006-10-23-01; 0.4825; 4.3458
2006-10-23-02; 0.5098; 3.7070
2006-10-23-03; 0.5819; 3.4270
2006-10-23-04; 0.6681; 3.3759
2006-10-23-05; 0.6992; 3.2807
2006-10-23-06; 0.7297; 3.3942
2006-10-23-07; 0.8119; 3.4946
2006-10-23-08; 0.7821; 3.4079
2006-10-23-09; 0.7937; 3.4984
2006-10-23-10; 0.8146; 3.4378
2006-10-23-11; 0.7626; 3.5534
2006-10-23-12; 0.8002; 3.5506
2006-10-23-13; 1.1133; 3.8890
2006-10-23-14; 1.5414; 4.3828
2006-10-23-15; 1.6191; 4.5743
2006-10-23-16; 1.7678; 4.6315
2006-10-23-17; 1.7254; 4.6739
2006-10-23-18; 1.8120; 4.7747
2006-10-23-19; 1.8059; 4.7904
2006-10-23-20; 1.7635; 4.7787
2006-10-23-21; 1.6229; 4.7826
2006-10-23-22; 1.5608; 4.7689
2006-10-23-23; 1.5239; 4.7849
2006-10-24-00; 1.5080; 4.8891
2006-10-24-01; 1.4740; 4.8765
2006-10-24-02; 1.4281; 4.8409
2006-10-24-03; 1.6379; 4.6854
2006-10-24-04; 1.9101; 4.8842
2006-10-24-05; 1.9821; 4.9219
2006-10-24-06; 2.3073; 5.2027
2006-10-24-07; 2.4005; 5.2428
2006-10-24-08; 2.3685; 5.2385
2006-10-24-09; 2.2885; 5.2131
2006-10-24-10; 2.3664; 5.3270
2006-10-24-11; 2.3142; 5.3664
2006-10-24-12; 2.4790; 5.6984
2006-10-24-13; 2.6564; 5.8312
2006-10-24-14; 2.9444; 6.0045
2006-10-24-15; 2.8961; 6.0085
2006-10-24-16; 2.8897; 5.9988
2006-10-24-17; 2.8618; 6.0548
2006-10-24-19; 2.6007; 5.9826
2006-10-24-20; 2.5523; 5.9410
2006-10-24-21; 2.5417; 6.1042
2006-10-24-22; 2.4095; 6.2244
2006-10-24-23; 2.1638; 6.1181
2006-10-25-00; 2.0842; 5.9710
2006-10-25-01; 1.9132; 6.0066
2006-10-25-02; 1.9442; 6.3380
2006-10-25-03; 1.8175; 6.2202
2006-10-25-04; 1.5827; 5.9331
2006-10-25-05; 1.6508; 6.1245
2006-10-25-06; 1.5940; 6.1188
2006-10-25-07; 1.5212; 5.9453
2006-10-25-08; 1.5607; 5.7685
2006-10-25-09; 1.6031; 5.6329
2006-10-25-10; 1.5041; 5.3257
2006-10-25-11; 1.4328; 5.3620
2006-10-25-12; 1.3660; 5.4727
2006-10-25-13; 1.3360; 5.5262
2006-10-25-14; 1.1677; 5.1706
2006-10-25-15; 1.1644; 5.3901
2006-10-25-16; 1.2236; 5.6854
2006-10-25-17; 1.1395; 5.5911
2006-10-25-18; 1.1664; 5.6047
2006-10-25-19; 1.1173; 5.4519
2006-10-25-20; 1.1204; 5.4234
2006-10-25-21; 1.0700; 5.4265
2006-10-25-22; 1.0719; 5.2814
2006-10-25-23; 1.0567; 5.3028
2006-10-26-00; 1.0217; 5.3534
2006-10-26-01; 0.9189; 5.2330
2006-10-26-02; 0.8746; 5.1875
2006-10-26-03; 0.8502; 5.2465
2006-10-26-04; 0.8552; 5.1715
2006-10-26-05; 0.7891; 5.0225
2006-10-26-06; 0.7465; 4.9642
2006-10-26-07; 0.7990; 5.3087
2006-10-26-08; 0.7268; 5.0682
2006-10-26-09; 0.7260; 4.9436
2006-10-26-10; 0.7491; 4.3862
2006-10-26-11; 0.8250; 3.9781
2006-10-26-12; 0.8763; 4.0562
2006-10-26-13; 0.8792; 4.0917
2006-10-26-14; 0.8267; 4.0778
2006-10-26-15; 0.7972; 4.0711
2006-10-26-16; 0.7754; 4.0814
2006-10-26-17; 0.7168; 4.0974
2006-10-26-18; 0.7263; 4.0854
2006-10-26-19; 0.6874; 4.0999
2006-10-26-20; 0.7196; 4.2478
2006-10-26-21; 0.7004; 4.2781
2006-10-26-22; 0.6963; 4.3316
2006-10-26-23; 0.7088; 3.9545
2006-10-27-00; 0.7042; 3.7528
2006-10-27-01; 0.7782; 3.7376
2006-10-27-02; 0.8059; 3.6472
2006-10-27-03; 0.8508; 3.6646
2006-10-27-04; 0.9801; 3.9064
2006-10-27-05; 1.0104; 3.8381
2006-10-27-06; 1.0756; 3.7809
2006-10-27-07; 1.0881; 3.7979
2006-10-27-08; 1.0664; 3.7819
